pdf_index,site_row,skip,filename,title,agency,release_date,url,folder
77,78,False,DOW-UAP-D8_Mission_Report_Djibouti_2025.pdf,"DOW-UAP-D8, Mission Report, Djibouti, 2025",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-d8-mission-report-djibouti-2025.pdf,DOW-UAP-D8_Mission_Report_Djibouti_2025
78,80,False,DOW-UAP-PR20_Unresolved_UAP_Report_Kuwait_May_2022.pdf,"DOW-UAP-PR20, Unresolved UAP Report, Kuwait, May 2022",Department of War,5/8/26,https://www.war.gov/medialink/ufo/release_1/dow-uap-pr20.pdf,DOW-UAP-PR20_Unresolved_UAP_Report_Kuwait_May_2022
79,115,False,FBI_Photo_B1.pdf,FBI Photo B1,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b1.pdf,FBI_Photo_B1
80,116,False,FBI_Photo_B10.pdf,FBI Photo B10,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b10.pdf,FBI_Photo_B10
81,117,False,FBI_Photo_B11.pdf,FBI Photo B11,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b11.pdf,FBI_Photo_B11
82,118,False,FBI_Photo_B12.pdf,FBI Photo B12,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b12.pdf,FBI_Photo_B12
83,119,False,FBI_Photo_B13.pdf,FBI Photo B13,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b13.pdf,FBI_Photo_B13
84,120,False,FBI_Photo_B14.pdf,FBI Photo B14,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b14.pdf,FBI_Photo_B14
85,121,False,FBI_Photo_B15.pdf,FBI Photo B15,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b15.pdf,FBI_Photo_B15
86,122,False,FBI_Photo_B16.pdf,FBI Photo B16,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b16.pdf,FBI_Photo_B16
87,123,False,FBI_Photo_B17.pdf,FBI Photo B17,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b17.pdf,FBI_Photo_B17
88,124,False,FBI_Photo_B18.pdf,FBI Photo B18,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b18.pdf,FBI_Photo_B18
89,125,False,FBI_Photo_B19.pdf,FBI Photo B19,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b19.pdf,FBI_Photo_B19
90,126,False,FBI_Photo_B2.pdf,FBI Photo B2,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b2.pdf,FBI_Photo_B2
91,127,False,FBI_Photo_B20.pdf,FBI Photo B20,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b20.pdf,FBI_Photo_B20
92,128,False,FBI_Photo_B21.pdf,FBI Photo B21,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b21.pdf,FBI_Photo_B21
93,129,False,FBI_Photo_B22.pdf,FBI Photo B22,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b22.pdf,FBI_Photo_B22
94,130,False,FBI_Photo_B23.pdf,FBI Photo B23,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b23.pdf,FBI_Photo_B23
95,131,False,FBI_Photo_B24.pdf,FBI Photo B24,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b24.pdf,FBI_Photo_B24
96,132,False,FBI_Photo_B3.pdf,FBI Photo B3,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b3.pdf,FBI_Photo_B3
97,133,False,FBI_Photo_B4.pdf,FBI Photo B4,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b4.pdf,FBI_Photo_B4
98,134,False,FBI_Photo_B5.pdf,FBI Photo B5,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b5.pdf,FBI_Photo_B5
99,135,False,FBI_Photo_B6.pdf,FBI Photo B6,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b6.pdf,FBI_Photo_B6
100,136,False,FBI_Photo_B7.pdf,FBI Photo B7,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b7.pdf,FBI_Photo_B7
101,137,False,FBI_Photo_B8.pdf,FBI Photo B8,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b8.pdf,FBI_Photo_B8
102,138,False,FBI_Photo_B9.pdf,FBI Photo B9,FBI,5/8/26,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b9.pdf,FBI_Photo_B9
103,139,False,NASA-UAP-D1_Apollo_12_Transcript_1969.pdf,"NASA-UAP-D1, Apollo 12 Transcript, 1969",NASA,5/8/26,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d1-apollo-12-transcript-1969.pdf,NASA-UAP-D1_Apollo_12_Transcript_1969
104,140,False,NASA-UAP-D2_Apollo_17_Transcript_1972.pdf,"NASA-UAP-D2, Apollo 17 Transcript, 1972",NASA,5/8/26,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d2-apollo-17-transcript-1972.pdf,NASA-UAP-D2_Apollo_17_Transcript_1972
105,141,False,NASA-UAP-D4_Apollo_11_Technical_Crew_Debriefing_1969.pdf,"NASA-UAP-D4, Apollo 11 Technical Crew Debriefing, 1969",NASA,5/8/26,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d4-apollo-11-technical-crew-debriefing-1969.pdf,NASA-UAP-D4_Apollo_11_Technical_Crew_Debriefing_1969
106,142,False,NASA-UAP-D5_Apollo_17_Crew_Debriefing_for_Science_1973.pdf,"NASA-UAP-D5, Apollo 17 Crew Debriefing for Science, 1973",NASA,5/8/26,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d5-apollo-17-crew-debriefing-for-science-1973.pdf,NASA-UAP-D5_Apollo_17_Crew_Debriefing_for_Science_1973
